condition,mesh,score_before,score_after,score_delta,elapsed_s,error,angular_mean_deg,mean_silhouette_iou,normal_consistency,hausdorff_95pct,mean_ssim,chamfer_distance,roughness_rms,mean_edge_iou
baseline,bunny.ply,0.42499999999999993,0.42499999999999993,0.0,1.01,,,,,,,,,
heuristic_6v,bunny.ply,0.42499999999999993,0.42499999999999993,0.0,31.55,,10.078932469171226,0.9979234095958,0.9703279780953958,0.0037254105188787713,0.9920812977487999,0.003744362850161902,0.000477111368996332,0.8682405863789867
heuristic_36v,bunny.ply,0.42499999999999993,0.42499999999999993,0.0,175.83,,10.34056884821059,0.997862723734908,0.9674872186996667,0.003660778575525113,0.9905271828656291,0.0037676718647831546,0.0004803365765160525,0.7902781587856338
cot_laplacian,bunny.ply,0.42499999999999993,0.42499999999999993,0.0,32.54,,9.898957569478151,0.9981219262598789,0.9660994508841334,0.003684899197474853,0.9949608914557567,0.0037783016752633036,0.00048084601520659705,0.940401447510436
gnn_6v,bunny.ply,0.42499999999999993,0.42499999999999993,0.0,32.08,,10.164095801783175,0.9980688631063094,0.9689959930450168,0.0036466313001081814,0.9922834598397517,0.003733353545901098,0.0004975142650555423,0.8856348639794156
baseline,elepham.obj,0.5420972636422206,0.5420972636422206,0.0,0.63,,,,,,,,,
heuristic_6v,elepham.obj,0.5420972636422206,0.5412655404025171,-0.0008317232397034857,18.65,,24.191667696973475,0.9914485891888088,0.8000731571667434,19.768834963300545,0.9707205652756367,20.226176092125044,3.032312916310629,0.8917750271422681
heuristic_36v,elepham.obj,0.5420972636422206,0.5412655404025171,-0.0008317232397034857,102.92,,23.398727509496,0.9913849843587828,0.8042555915611564,19.15265772213598,0.9696649609475101,20.20594628338248,3.0559509709162054,0.8755400563036684
cot_laplacian,elepham.obj,0.5420972636422206,0.5425524184152621,0.00045515477304158836,18.54,,25.870588058996077,0.9933607768094612,0.7869626867960007,19.944524142790158,0.9832557162653948,20.163078722835508,3.0093377453013788,0.8966354065831742
gnn_6v,elepham.obj,0.5420972636422206,0.5411547683917862,-0.0009424952504343276,18.32,,25.579657866563092,0.9925487117824813,0.7954785000021309,19.684445574408134,0.98259569535589,20.116775745907063,3.107896573629358,0.9295907527728092
baseline,happy.ply,0.0,0.0,0.0,0.0,"too large (543,524 verts)",,,,,,,,
heuristic_6v,happy.ply,0.0,0.0,0.0,0.0,"too large (543,524 verts)",,,,,,,,
heuristic_36v,happy.ply,0.0,0.0,0.0,0.0,"too large (543,524 verts)",,,,,,,,
cot_laplacian,happy.ply,0.0,0.0,0.0,0.0,"too large (543,524 verts)",,,,,,,,
gnn_6v,happy.ply,0.0,0.0,0.0,0.0,"too large (543,524 verts)",,,,,,,,
baseline,janus.obj,0.42000000000000004,0.42000000000000004,0.0,0.74,,,,,,,,,
heuristic_6v,janus.obj,0.42000000000000004,0.42000000000000004,0.0,20.32,,17.538117775178254,0.9947872204866129,0.9031021794262597,0.05177655075183086,0.9699172067281094,0.0535666062798264,0.00698529839884169,0.8215464121537507
heuristic_36v,janus.obj,0.42000000000000004,0.42000000000000004,0.0,112.85,,17.11701220609215,0.9948928994708088,0.9102458174264931,0.05156554709521454,0.9675082254773592,0.053171509967739075,0.006971319931474914,0.8051048914583583
cot_laplacian,janus.obj,0.42000000000000004,0.42000000000000004,0.0,20.86,,17.032191337456286,0.9961452229713182,0.9095482145314361,0.051925675818309855,0.9853725519570117,0.05237323419816047,0.006934717226299454,0.8730898809059463
gnn_6v,janus.obj,0.42000000000000004,0.42000000000000004,0.0,20.27,,16.98652777796254,0.9947779068679976,0.9068698372395109,0.05095220588174208,0.9732598035253491,0.05360699759330942,0.007059895949004039,0.7971276085147201
baseline,mba1.obj,0.85,0.85,0.0,9.88,,,,,,,,,
heuristic_6v,mba1.obj,0.85,0.85,0.0,20.75,,58.61468181880066,0.9028415941390221,0.358933929560283,5.570412519400956,0.9256613995916961,5.320926766269572,0.7351985138412934,0.5028733686588417
heuristic_36v,mba1.obj,0.85,0.85,0.0,72.75,,56.62478151478179,0.893290978159443,0.34635045095637007,5.705290049491186,0.9154324215266408,5.375204143558122,0.6857402083420858,0.4742145927020375
cot_laplacian,mba1.obj,0.85,0.85,0.0,20.88,,60.10470925941205,0.7670226238820463,0.3619453648956179,12.083543225230166,0.8077414491686904,7.10204568193481,0.7495598711225823,0.2074449689851687
gnn_6v,mba1.obj,0.85,0.85,0.0,20.55,,59.43686319726327,0.9561808212164307,0.33302281245944626,5.293261845905589,0.9686045536446791,5.035286554689483,0.7245313210488625,0.703070071424326
baseline,Mr_Bean.obj,0.85,0.85,0.0,0.79,,,,,,,,,
heuristic_6v,Mr_Bean.obj,0.85,0.85,0.0,1.99,,14.950909474847874,0.8659033703906215,0.8983225423266105,0.04543626413668482,0.929837720095619,0.04864513837094474,0.007322650640470521,0.5769569324346128
heuristic_36v,Mr_Bean.obj,0.85,0.85,0.0,8.56,,13.8165900235985,0.8621707821947832,0.8811488935818705,0.04567755992432681,0.9209117116667039,0.04734123135201562,0.007371725343359813,0.5445263527559696
cot_laplacian,Mr_Bean.obj,0.85,0.85,0.0,1.8,,14.990870265908645,0.8781627826592381,0.8985736995183287,0.04361908301610734,0.9402760344731894,0.0466345797580051,0.0073566838057070455,0.5980525741027638
gnn_6v,Mr_Bean.obj,0.85,0.85,0.0,1.97,,12.072957945599857,0.9136023834911272,0.8932173632417674,0.041912763798583615,0.9679452522734723,0.04286611448326122,0.007515824564333466,0.6933475409618876
baseline,Rigged_Hand.obj,0.58,0.58,0.0,0.21,,,,,,,,,
heuristic_6v,Rigged_Hand.obj,0.58,0.58,0.0,1.85,,10.745719731563447,0.9322266307242241,0.9442995398144295,0.005118072759174249,0.992043459407157,0.005233911429359067,0.0007570529843607726,0.7379083018617902
heuristic_36v,Rigged_Hand.obj,0.58,0.58,0.0,8.55,,11.732990270547447,0.9279631111441891,0.9361343157390818,0.004939070744672847,0.9908239079532493,0.005159440903381447,0.0007346116339533283,0.7362578429751119
cot_laplacian,Rigged_Hand.obj,0.58,0.58,0.0,1.74,,11.433214681657947,0.9417961027164478,0.9329640768952868,0.004921304379564159,0.9925629554007668,0.005079216144688718,0.0007399999649974091,0.6674429201968982
gnn_6v,Rigged_Hand.obj,0.58,0.58,0.0,1.74,,10.359523583723046,0.945973786610968,0.9352651028990543,0.004815308224291036,0.9950791982350186,0.005103339778024265,0.0007237169573662417,0.7433804529869593
